room,month,increment_raw,increment_weighted,source
R1,2024-01,100.000000,157.000000,measured_old
R1,2024-02,31.000000,48.670000,measured_old
R1,2024-03,21.000000,32.970000,measured_old
R1,2024-04,13.000000,20.410000,measured_old
R1,2024-05,0.000000,0.000000,measured_old
R1,2024-06,0.000000,0.000000,measured_old
R1,2024-07,0.000000,0.000000,measured_old
R1,2024-08,0.000000,0.000000,measured_old
R1,2024-09,0.000000,0.000000,measured_old
R1,2024-10,117.000000,183.690000,measured_old
R1,2024-11,140.000000,219.800000,measured_old
R1,2024-12,151.000000,237.070000,measured_old
R1,2025-01,0.000000,0.000000,measured_old
R1,2025-02,76.000000,119.320000,measured_old
R1,2025-03,33.000000,51.810000,measured_old
R1,2025-04,11.000000,17.270000,measured_old
R1,2025-05,2.000000,3.140000,measured_old
R1,2025-06,0.000000,0.000000,measured_old
R1,2025-07,0.000000,0.000000,measured_old
R1,2025-08,0.000000,0.000000,measured_old
R1,2025-09,0.000000,0.000000,measured_old
R1,2025-10,64.358696,101.043152,reconstructed_from_meter_swap_191_to_2025-12-31
R1,2025-11,62.282609,97.783696,reconstructed_from_meter_swap_191_to_2025-12-31
R1,2025-12,64.358696,101.043152,reconstructed_from_meter_swap_191_to_2025-12-31
R1,2026-01,5.000000,7.850000,measured_new
R1,2026-01,35.000000,54.950000,measured_new
R1,2026-01,87.000000,136.590000,measured_new
R1,2026-02,10.000000,15.700000,measured_new
R2,2024-01,181.000000,142.990000,measured_single
R2,2024-02,101.000000,79.790000,measured_single
R2,2024-03,64.000000,50.560000,measured_single
R2,2024-04,41.000000,32.390000,measured_single
R2,2024-05,6.000000,4.740000,measured_single
R2,2024-06,0.000000,0.000000,measured_single
R2,2024-07,0.000000,0.000000,measured_single
R2,2024-08,0.000000,0.000000,measured_single
R2,2024-09,0.000000,0.000000,measured_single
R2,2024-10,87.000000,68.730000,measured_single
R2,2024-11,114.000000,90.060000,measured_single
R2,2024-12,160.000000,126.400000,measured_single
R2,2025-01,0.000000,0.000000,measured_single
R2,2025-02,162.000000,127.980000,measured_single
R2,2025-03,74.000000,58.460000,measured_single
R2,2025-04,42.000000,33.180000,measured_single
R2,2025-05,0.000000,0.000000,measured_single
R2,2025-06,0.000000,0.000000,measured_single
R2,2025-07,0.000000,0.000000,measured_single
R2,2025-08,0.000000,0.000000,measured_single
R2,2025-09,0.000000,0.000000,measured_single
R2,2025-12,34.000000,26.860000,measured_single
R2,2026-01,62.000000,48.980000,measured_single
R3,2024-01,0.000000,0.000000,measured_single
R3,2024-02,0.000000,0.000000,measured_single
R3,2024-03,0.000000,0.000000,measured_single
R3,2024-04,0.000000,0.000000,measured_single
R3,2024-05,0.000000,0.000000,measured_single
R3,2024-06,0.000000,0.000000,measured_single
R3,2024-07,0.000000,0.000000,measured_single
R3,2024-08,0.000000,0.000000,measured_single
R3,2024-09,0.000000,0.000000,measured_single
R3,2024-10,145.000000,66.700000,measured_single
R3,2024-11,190.000000,87.400000,measured_single
R3,2024-12,301.000000,138.460000,measured_single
R3,2025-01,0.000000,0.000000,measured_single
R3,2025-02,366.000000,168.360000,measured_single
R3,2025-03,227.000000,104.420000,measured_single
R3,2025-04,167.000000,76.820000,measured_single
R3,2025-05,222.000000,102.120000,measured_single
R3,2025-06,104.000000,47.840000,measured_single
R3,2025-07,1.000000,0.460000,measured_single
R3,2025-08,0.000000,0.000000,measured_single
R3,2025-09,0.000000,0.000000,measured_single
R4,2024-01,12.000000,7.560000,measured_single
R4,2024-02,0.000000,0.000000,measured_single
R4,2024-03,0.000000,0.000000,measured_single
R4,2024-04,0.000000,0.000000,measured_single
R4,2024-05,0.000000,0.000000,measured_single
R4,2024-06,0.000000,0.000000,measured_single
R4,2024-07,0.000000,0.000000,measured_single
R4,2024-08,0.000000,0.000000,measured_single
R4,2024-09,0.000000,0.000000,measured_single
R4,2024-10,232.000000,146.160000,measured_single
R4,2024-11,288.000000,181.440000,measured_single
R4,2024-12,230.000000,144.900000,measured_single
R4,2025-01,0.000000,0.000000,measured_single
R4,2025-02,297.000000,187.110000,measured_single
R4,2025-03,228.000000,143.640000,measured_single
R4,2025-04,59.000000,37.170000,measured_single
R4,2025-05,18.000000,11.340000,measured_single
R4,2025-06,0.000000,0.000000,measured_single
R4,2025-07,0.000000,0.000000,measured_single
R4,2025-08,0.000000,0.000000,measured_single
R4,2025-09,0.000000,0.000000,measured_single
