room,device,number,factor,meter_id,date,reading,comment
R1,HKV/T,10001,1.57,old,2023-12-31,0,
R1,HKV/T,10001,1.57,old,2024-01-31,100,
R1,HKV/T,10001,1.57,old,2024-02-29,131,
R1,HKV/T,10001,1.57,old,2024-03-31,152,
R1,HKV/T,10001,1.57,old,2024-04-30,165,
R1,HKV/T,10001,1.57,old,2024-05-31,165,
R1,HKV/T,10001,1.57,old,2024-06-30,165,
R1,HKV/T,10001,1.57,old,2024-07-31,165,
R1,HKV/T,10001,1.57,old,2024-08-31,165,
R1,HKV/T,10001,1.57,old,2024-09-30,165,
R1,HKV/T,10001,1.57,old,2024-10-31,282,
R1,HKV/T,10001,1.57,old,2024-11-30,422,
R1,HKV/T,10001,1.57,old,2024-12-31,573,
R1,HKV/T,10001,1.57,old,2025-01-31,150,
R1,HKV/T,10001,1.57,old,2025-02-28,226,
R1,HKV/T,10001,1.57,old,2025-03-31,259,
R1,HKV/T,10001,1.57,old,2025-04-30,270,
R1,HKV/T,10001,1.57,old,2025-05-31,272,
R1,HKV/T,10001,1.57,old,2025-06-30,272,
R1,HKV/T,10001,1.57,old,2025-07-31,272,
R1,HKV/T,10001,1.57,old,2025-08-31,272,
R1,HKV/T,10001,1.57,old,2025-09-30,0,new meter reading (meter swap at 2025-09-30)
R1,HKV/T,10001,1.57,new,2025-12-31,191,new meter reading
R1,HKV/T,10001,1.57,new,2026-01-03,196,new meter reading
R1,HKV/T,10001,1.57,new,2026-01-09,231,new meter reading
R1,HKV/T,10001,1.57,new,2026-01-31,318,new meter reading
R1,HKV/T,10001,1.57,new,2026-02-02,328,new meter reading
R2,HKV/T,10002,0.79,single,2023-12-31,0,
R2,HKV/T,10002,0.79,single,2024-01-31,181,
R2,HKV/T,10002,0.79,single,2024-02-29,282,
R2,HKV/T,10002,0.79,single,2024-03-31,346,
R2,HKV/T,10002,0.79,single,2024-04-30,387,
R2,HKV/T,10002,0.79,single,2024-05-31,393,
R2,HKV/T,10002,0.79,single,2024-06-30,393,
R2,HKV/T,10002,0.79,single,2024-07-31,393,
R2,HKV/T,10002,0.79,single,2024-08-31,393,
R2,HKV/T,10002,0.79,single,2024-09-30,393,
R2,HKV/T,10002,0.79,single,2024-10-31,480,
R2,HKV/T,10002,0.79,single,2024-11-30,594,
R2,HKV/T,10002,0.79,single,2024-12-31,754,
R2,HKV/T,10002,0.79,single,2025-01-31,208,
R2,HKV/T,10002,0.79,single,2025-02-28,370,
R2,HKV/T,10002,0.79,single,2025-03-31,444,
R2,HKV/T,10002,0.79,single,2025-04-30,486,
R2,HKV/T,10002,0.79,single,2025-05-31,486,
R2,HKV/T,10002,0.79,single,2025-06-30,486,
R2,HKV/T,10002,0.79,single,2025-07-31,486,
R2,HKV/T,10002,0.79,single,2025-08-31,486,
R2,HKV/T,10002,0.79,single,2025-09-30,3,new meter reading (meter swap at 2025-09-30)
R2,HKV/T,10002,0.79,single,2025-12-31,37,new meter reading
R2,HKV/T,10002,0.79,single,2026-01-31,99,new meter reading
R3,HKV/T,10003,0.46,single,2023-12-31,0,
R3,HKV/T,10003,0.46,single,2024-01-31,0,
R3,HKV/T,10003,0.46,single,2024-02-29,0,
R3,HKV/T,10003,0.46,single,2024-03-31,0,
R3,HKV/T,10003,0.46,single,2024-04-30,0,
R3,HKV/T,10003,0.46,single,2024-05-31,0,
R3,HKV/T,10003,0.46,single,2024-06-30,0,
R3,HKV/T,10003,0.46,single,2024-07-31,0,
R3,HKV/T,10003,0.46,single,2024-08-31,0,
R3,HKV/T,10003,0.46,single,2024-09-30,0,
R3,HKV/T,10003,0.46,single,2024-10-31,145,
R3,HKV/T,10003,0.46,single,2024-11-30,335,
R3,HKV/T,10003,0.46,single,2024-12-31,636,
R3,HKV/T,10003,0.46,single,2025-01-31,301,
R3,HKV/T,10003,0.46,single,2025-02-28,667,
R3,HKV/T,10003,0.46,single,2025-03-31,894,
R3,HKV/T,10003,0.46,single,2025-04-30,1061,
R3,HKV/T,10003,0.46,single,2025-05-31,1283,
R3,HKV/T,10003,0.46,single,2025-06-30,1387,
R3,HKV/T,10003,0.46,single,2025-07-31,1388,
R3,HKV/T,10003,0.46,single,2025-08-31,1388,
R3,HKV/T,10003,0.46,single,2025-09-30,0,
R4,HKV/T,10004,0.63,single,2023-12-31,0,
R4,HKV/T,10004,0.63,single,2024-01-31,12,
R4,HKV/T,10004,0.63,single,2024-02-29,12,
R4,HKV/T,10004,0.63,single,2024-03-31,12,
R4,HKV/T,10004,0.63,single,2024-04-30,12,
R4,HKV/T,10004,0.63,single,2024-05-31,12,
R4,HKV/T,10004,0.63,single,2024-06-30,12,
R4,HKV/T,10004,0.63,single,2024-07-31,12,
R4,HKV/T,10004,0.63,single,2024-08-31,12,
R4,HKV/T,10004,0.63,single,2024-09-30,12,
R4,HKV/T,10004,0.63,single,2024-10-31,244,
R4,HKV/T,10004,0.63,single,2024-11-30,532,
R4,HKV/T,10004,0.63,single,2024-12-31,762,
R4,HKV/T,10004,0.63,single,2025-01-31,371,
R4,HKV/T,10004,0.63,single,2025-02-28,668,
R4,HKV/T,10004,0.63,single,2025-03-31,896,
R4,HKV/T,10004,0.63,single,2025-04-30,955,
R4,HKV/T,10004,0.63,single,2025-05-31,973,
R4,HKV/T,10004,0.63,single,2025-06-30,973,
R4,HKV/T,10004,0.63,single,2025-07-31,973,
R4,HKV/T,10004,0.63,single,2025-08-31,973,
R4,HKV/T,10004,0.63,single,2025-09-30,0,
